condition,threshold_g_ge,accepted_groups,coverage,risk_cmsa_failure
clean,,0,0.0,
clean,1.0,21,0.42,0.09523809523809523
clean,0.9996859789605903,22,0.44,0.09090909090909094
clean,0.999523639395022,23,0.46,0.08695652173913049
clean,0.9992829168735176,24,0.48,0.08333333333333337
clean,0.9992765854834821,25,0.5,0.07999999999999996
clean,0.9989848860816603,26,0.52,0.07692307692307687
clean,0.9986329460013671,27,0.54,0.07407407407407407
clean,0.9986049107142857,28,0.56,0.0714285714285714
clean,0.9982613735149232,29,0.58,0.06896551724137934
clean,0.997872340425532,30,0.6,0.06666666666666665
clean,0.9976525821596244,31,0.62,0.06451612903225812
clean,0.997164217581851,32,0.64,0.0625
clean,0.9964454976303317,33,0.66,0.06060606060606055
clean,0.9948979591836735,34,0.68,0.05882352941176472
clean,0.9946539110861001,35,0.7,0.05714285714285716
clean,0.9944506104328524,36,0.72,0.05555555555555558
clean,0.9914124962984898,37,0.74,0.05405405405405406
clean,0.989769820971867,38,0.76,0.052631578947368474
clean,0.9897610921501706,39,0.78,0.05128205128205132
clean,0.9876065065840434,40,0.8,0.050000000000000044
clean,0.9858611825192802,41,0.82,0.04878048780487809
clean,0.983956439301862,42,0.84,0.04761904761904767
clean,0.9770916334661355,43,0.86,0.046511627906976716
clean,0.9664304797305145,44,0.88,0.045454545454545414
clean,0.958139534883721,45,0.9,0.0444444444444444
clean,0.944666001994018,46,0.92,0.04347826086956519
clean,0.9356521739130435,47,0.94,0.04255319148936165
clean,0.7777777777777778,48,0.96,0.04166666666666663
clean,0.0,50,1.0,0.06000000000000005
target15_b,,0,0.0,
target15_b,1.0,17,0.34,0.23529411764705888
target15_b,0.9995825941771888,18,0.36,0.2222222222222222
target15_b,0.999577677224736,19,0.38,0.21052631578947367
target15_b,0.9981926155435064,20,0.4,0.19999999999999996
target15_b,0.9965635738831615,21,0.42,0.19047619047619047
target15_b,0.9957645065650148,22,0.44,0.18181818181818177
target15_b,0.9911690496215307,23,0.46,0.17391304347826086
target15_b,0.9908266723888204,24,0.48,0.16666666666666663
target15_b,0.9879559532002753,25,0.5,0.16000000000000003
target15_b,0.9837037037037037,26,0.52,0.15384615384615385
target15_b,0.9775240813414199,27,0.54,0.18518518518518523
target15_b,0.9761801645734084,28,0.56,0.1785714285714286
target15_b,0.9719170403587444,29,0.58,0.2068965517241379
target15_b,0.966491458607096,30,0.6,0.19999999999999996
target15_b,0.9618255853410247,31,0.62,0.19354838709677424
target15_b,0.9438457175269427,32,0.64,0.21875
target15_b,0.9416514717374316,33,0.66,0.21212121212121215
target15_b,0.9405158069883528,34,0.68,0.23529411764705888
target15_b,0.9290942360475755,35,0.7,0.22857142857142854
target15_b,0.9230538022242261,36,0.72,0.25
target15_b,0.8447719944725933,37,0.74,0.2702702702702703
target15_b,0.8310679611650486,38,0.76,0.26315789473684215
target15_b,0.7388353765323993,39,0.78,0.28205128205128205
target15_b,0.567060709276698,40,0.8,0.30000000000000004
target15_b,0.17549668874172186,41,0.82,0.31707317073170727
target15_b,0.047058823529411764,42,0.84,0.33333333333333337
target15_b,0.0,46,0.92,0.3695652173913043
target15_b,-0.22103213242453748,47,0.94,0.3829787234042553
target15_b,-0.7835915671831344,48,0.96,0.39583333333333337
target15_b,-1.0,50,1.0,0.42000000000000004
