"cycle","evidence role","method","condition","mIoU","CMSA numerator","CMSA denominator","CMSA rate","Fidelity numerator","Fidelity denominator","Fidelity rate","IER numerator","IER denominator","IER rate","mean margin","median margin","N groups","N identities"
"025","PRIMARY: DOCUMENTED_PROTOCOL_DISJOINT_CONFIRMATION","CMA base-w15","clean",0.882756276338968,46,50,0.92,97,100,0.97,1,100,0.01,0.8739440872842417,0.952628848675662,50,100
"025","PRIMARY: DOCUMENTED_PROTOCOL_DISJOINT_CONFIRMATION","CMA base-w15","target15_b",0.6752783679741409,29,50,0.58,84,100,0.84,3,100,0.03,0.6466656573442146,0.8428751370835651,50,100
"025","PRIMARY: DOCUMENTED_PROTOCOL_DISJOINT_CONFIRMATION","SegLLM pinned","clean",0.4270578626539793,2,50,0.04,49,100,0.49,42,100,0.42,0.049033634623168225,0,50,100
"025","PRIMARY: DOCUMENTED_PROTOCOL_DISJOINT_CONFIRMATION","SegLLM pinned","target15_b",0.3644353207205864,1,50,0.02,46,100,0.46,38,100,0.38,0.03181829587247446,0,50,100
"022","Historical replication: documented overlap","CMA base-w15","clean",0.9086677832392657,47,50,0.94,98,100,0.98,2,100,0.02,0.8929930847278572,0.9567582807056603,50,100
"022","Historical replication: documented overlap","CMA base-w15","target15_b",0.6801693725136052,30,50,0.6,87,100,0.87,2,100,0.02,0.657803018723887,0.8602438247249705,50,100
"022","Historical replication: documented overlap","SegLLM pinned","clean",0.3729382004865751,3,50,0.06,43,100,0.43,38,100,0.38,0.0415679421258808,0,50,100
"022","Historical replication: documented overlap","SegLLM pinned","target15_b",0.2752310457631434,1,50,0.02,38,100,0.38,30,100,0.3,0.016394073408354463,0,50,100
"018","Development replication: documented overlap","CMA base-w15","clean",0.9197182918768901,47,50,0.94,99,100,0.99,0,100,0,0.9197182918768901,0.9631895116958757,50,100
"018","Development replication: documented overlap","CMA base-w15","target15_b",0.6911134046687633,29,50,0.58,89,100,0.89,3,100,0.03,0.6629313123212343,0.8474629071282657,50,100
"018","Development replication: documented overlap","SegLLM pinned","clean",0.4156634442103638,2,50,0.04,47,100,0.47,41,100,0.41,0.04771666887540652,0,50,100
"018","Development replication: documented overlap","SegLLM pinned","target15_b",0.33140875520863255,0,50,0,42,100,0.42,39,100,0.39,-0.02785825715773968,0,50,100
"025","PRIMARY paired delta (fraction units)","CMA minus SegLLM","clean",0.4556984136849887,"","",0.88,"","",0.48,"","",-0.41,0.8249104526610734,0.952628848675662,50,100
"025","PRIMARY paired delta (fraction units)","CMA minus SegLLM","target15_b",0.3108430472535545,"","",0.5599999999999999,"","",0.37999999999999995,"","",-0.35,0.6148473614717401,0.8428751370835651,50,100
