condition,group_id,miou_zero_minus_full,mean_margin_zero_minus_full,identity0_margin_delta,identity1_margin_delta,cmsa_full,cmsa_zero
clean,cf_778571dc8020b5df,-0.5039038711787057,-0.9555557258927707,-0.04056152811175806,-1.8705499236737833,True,False
clean,acceptedpair_18803244d947e2f7,0.09614750227894572,0.3884653030251267,0.19229500455789145,0.584635601492362,False,False
clean,cf_56a9b1ea716e19d3,-0.5209650450301435,-0.5209650450301435,-0.0815811606391926,-0.9603489294210944,False,False
clean,cf_f6120ac9bd438a95,-0.9247748887453894,-0.9407958616553806,-0.8848089108807532,-0.996782812430008,True,False
clean,acceptedpair_8809b4676725c499,-0.534714459648749,-0.9174831469926509,-0.5783974663798408,-1.2565688276054612,True,False
clean,cf_b0d459c99cdff5e6,-0.49964116312916523,-0.9462319181786434,-1.83646733155432,-0.055996504802966585,True,False
clean,acceptedpair_b914b3d4a14a9083,-0.4891737653649386,-0.9293270694508929,-1.3823380472246232,-0.47631609167716293,True,False
clean,cf_e0f5ae2d424569c9,-0.41188812494920163,-0.8868419142283144,-0.013878204019049045,-1.75980562443758,True,False
clean,cf_4fbcb91b5cbb9181,-0.7290822064372328,-0.9938262658840964,-0.6762990043566153,-1.3113535274115777,True,False
clean,cf_7bda1a50e0ec27ba,-0.47661164718810145,-0.8375453274972253,-0.0013926886734865196,-1.6736979663209641,True,False
clean,acceptedpair_8971bf1ad1c9a9cc,-0.5359400326348049,-0.9249603029050752,-1.7484915514270103,-0.1014290543831401,True,False
clean,acceptedpair_2a1ba9e169a854d9,-0.8833073137486429,-0.8833073137486429,-0.845213849287169,-0.9214007782101167,True,False
clean,acceptedpair_5b51488e49b46f60,-0.5514330187183138,-0.8296520822634643,-0.42540314944742397,-1.2339010150795047,True,False
clean,cf_ef28727ca9fdc521,-0.37508962216780917,-0.5718465354441955,-1.0432073321175523,-0.10048573877083833,True,False
clean,cf_a3bb77c2403a5b68,-0.48102861754895304,-0.9630833506131073,-0.017808822959585635,-1.908357878266629,True,False
clean,cf_418a3cd9712751b3,-0.970392022306964,-0.970392022306964,-0.9858062386532431,-0.9549778059606848,True,False
clean,acceptedpair_9d5b0fa45b1a8ff9,-0.48209098342642587,-0.9603838458252485,-1.9027463602786692,-0.01802133137182793,True,False
clean,acceptedpair_a3e566dd54fb7f38,-0.5078233665397112,-0.9393270916423415,-0.06669224353452696,-1.811961939750156,True,False
clean,cf_7742007ec8b76d62,-0.4868321528641197,-0.9702116542491612,-1.935325395249519,-0.005097913248803487,True,False
clean,cf_a7cf884bd45defa4,-0.03713329109423669,-0.03713329109423669,-0.044354390707816105,-0.029912191480657158,True,True
clean,acceptedpair_e92c4f4a3b9d9d20,-0.28716091732758964,-0.7604439856770405,-1.4895460793923117,-0.03134189196176951,True,False
clean,acceptedpair_ef9f814da6e89020,-0.007759697472285387,-0.465823477059773,-0.9161275591749752,-0.015519394944570775,False,False
